time,equity
1630454400,10000.00
1630455300,10000.00
1630456200,10000.00
1630457100,10000.00
1630458000,10000.00
1630458900,10000.00
1630459800,10000.00
1630460700,10000.00
1630461600,10000.00
1630462500,10000.00
1630463400,10000.00
1630464300,10000.00
1630465200,10000.00
1630466100,10000.00
1630467000,10000.00
1630467900,10000.00
1630468800,10000.00
1630469700,10000.00
1630470600,10000.00
1630471500,10000.00
1630472400,10000.00
1630473300,10000.00
1630474200,10000.00
1630475100,10000.00
1630476000,10000.00
1630476900,10000.00
1630477800,10000.00
1630478700,10000.00
1630479600,10000.00
1630480500,10000.00
1630481400,10000.00
1630482300,10008.41
1630483200,10007.71
1630484100,10011.18
1630485000,10016.80
1630485900,10014.71
1630486800,10019.79
1630487700,10019.79
1630488600,10019.79
1630489500,10019.79
1630490400,10019.79
1630491300,10019.79
1630492200,10019.79
1630493100,10019.79
1630494000,10019.79
1630494900,10019.79
1630495800,10019.79
1630496700,10019.79
1630497600,10019.79
1630498500,10019.79
1630499400,10019.79
1630500300,10019.79
1630501200,10019.79
1630502100,10019.79
1630503000,10019.79
1630503900,10019.79
1630504800,10019.79
1630505700,10019.79
1630506600,10019.79
1630507500,10019.79
1630508400,10019.79
1630509300,10023.57
1630510200,10020.49
1630511100,10027.61
1630512000,10033.45
1630512900,10040.18
1630513800,10039.00
1630514700,10039.00
1630515600,10039.00
1630516500,10039.00
1630517400,10039.00
1630518300,10039.00
1630519200,10039.00
1630520100,10039.00
1630521000,10039.00
1630521900,10039.00
1630522800,10039.00
1630523700,10039.00
1630524600,10039.00
1630525500,10039.00
1630526400,10039.00
1630527300,10039.00
1630528200,10039.00
1630529100,10039.00
1630530000,10039.00
1630530900,10039.00
1630531800,10039.00
1630532700,10039.00
1630533600,10039.00
1630534500,10039.00
1630535400,10039.00
1630536300,10044.66
1630537200,10052.57
1630538100,10062.03
1630539000,10067.32
1630539900,10066.35
1630540800,10066.35
1630541700,10066.35
1630542600,10066.35
1630543500,10066.35
1630544400,10066.35
1630545300,10066.35
1630546200,10066.35
1630547100,10066.35
1630548000,10066.35
1630548900,10066.35
1630549800,10066.35
1630550700,10066.35
1630551600,10066.35
1630552500,10066.35
1630553400,10066.35
1630554300,10066.35
1630555200,10066.35
1630556100,10066.35
1630557000,10066.35
1630557900,10066.35
1630558800,10066.35
1630559700,10066.35
1630560600,10066.35
1630561500,10066.35
1630562400,10066.35
1630563300,10067.92
1630564200,10068.43
1630565100,10067.79
1630566000,10065.87
1630566900,10063.77
1630567800,10067.34
1630568700,10067.34
1630569600,10067.34
1630570500,10067.34
1630571400,10067.34
1630572300,10067.34
1630573200,10067.34
1630574100,10067.34
1630575000,10067.34
1630575900,10067.34
1630576800,10067.34
1630577700,10067.34
1630578600,10067.34
1630579500,10067.34
1630580400,10067.34
1630581300,10067.34
1630582200,10067.34
1630583100,10067.34
1630584000,10067.34
1630584900,10067.34
1630585800,10067.34
1630586700,10067.34
1630587600,10067.34
1630588500,10067.34
1630589400,10067.34
1630590300,10064.96
1630591200,10072.30
1630592100,10080.69
1630593000,10087.24
1630593900,10092.30
1630594800,10094.23
1630595700,10094.23
1630596600,10094.23
1630597500,10094.23
1630598400,10094.23
1630599300,10094.23
1630600200,10094.23
1630601100,10094.23
1630602000,10094.23
1630602900,10094.23
1630603800,10094.23
1630604700,10094.23
1630605600,10094.23
1630606500,10094.23
1630607400,10094.23
1630608300,10094.23
1630609200,10094.23
1630610100,10094.23
1630611000,10094.23
1630611900,10094.23
1630612800,10094.23
1630613700,10094.23
1630614600,10094.23
1630615500,10094.23
1630616400,10100.78
1630617300,10112.83
1630618200,10117.14
1630619100,10123.64
1630620000,10128.16
1630620900,10127.41
1630621800,10127.41
1630622700,10127.41
1630623600,10127.41
1630624500,10127.41
1630625400,10127.41
1630626300,10127.41
1630627200,10127.41
1630628100,10127.41
1630629000,10127.41
1630629900,10127.41
1630630800,10127.41
1630631700,10127.41
1630632600,10127.41
1630633500,10127.41
